Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
323.15,0.5,6.5718,0.15217,-11.923,-11.847,-34.309,186.91,234.94,1028.5,-0.36983,303.55,0.11495,liquid
328.15,0.5,6.528,0.15319,-10.744,-10.667,-30.685,188.79,237.01,1007.5,-0.36067,289.43,0.11349,liquid
333.15,0.5,6.4839,0.15423,-9.5541,-9.477,-27.085,190.69,239.12,986.57,-0.35122,276.22,0.11204,liquid
338.15,0.5,6.4393,0.1553,-8.3537,-8.2761,-23.508,192.6,241.25,965.74,-0.34144,263.85,0.11059,liquid
343.15,0.5,6.3944,0.15639,-7.1427,-7.0645,-19.951,194.52,243.4,945.01,-0.33131,252.24,0.10916,liquid
348.15,0.5,6.3491,0.1575,-5.9208,-5.842,-16.414,196.44,245.58,924.37,-0.32081,241.32,0.10775,liquid
353.15,0.5,6.3033,0.15865,-4.6879,-4.6086,-12.897,198.38,247.79,903.82,-0.30989,231.02,0.10634,liquid
358.15,0.5,6.257,0.15982,-3.444,-3.3641,-9.3973,200.33,250.02,883.35,-0.29852,221.31,0.10495,liquid
363.15,0.5,6.2101,0.16103,-2.1889,-2.1083,-5.9154,202.28,252.27,862.94,-0.28666,212.13,0.10356,liquid
368.15,0.5,6.1627,0.16227,-0.92241,-0.84128,-2.4501,204.23,254.56,842.61,-0.27426,203.43,0.10219,liquid
373.15,0.5,6.1147,0.16354,0.35549,0.43726,0.99934,206.19,256.86,822.33,-0.26126,195.18,0.10084,liquid
378.15,0.5,6.0661,0.16485,1.645,1.7274,4.4338,208.14,259.2,802.1,-0.24758,187.35,0.099489,liquid
383.15,0.5,6.0168,0.1662,2.9462,3.0293,7.8541,210.1,261.57,781.91,-0.23317,179.89,0.098153,liquid
388.15,0.5,5.9667,0.1676,4.2594,4.3432,11.261,212.06,263.97,761.75,-0.21792,172.79,0.096828,liquid
393.15,0.5,5.9158,0.16904,5.5846,5.6691,14.655,214.02,266.41,741.61,-0.20174,166.01,0.095515,liquid
398.15,0.5,5.864,0.17053,6.9221,7.0073,18.037,215.98,268.89,721.47,-0.18451,159.53,0.094212,liquid
403.15,0.5,5.8113,0.17208,8.272,8.358,21.409,217.94,271.41,701.32,-0.16609,153.32,0.092919,liquid
408.15,0.5,5.7576,0.17368,9.6347,9.7215,24.77,219.9,273.98,681.14,-0.14632,147.38,0.091636,liquid
413.15,0.5,5.7028,0.17535,11.01,11.098,28.122,221.85,276.62,660.92,-0.125,141.67,0.090362,liquid
418.15,0.5,5.6468,0.17709,12.399,12.488,31.466,223.81,279.32,640.63,-0.1019,136.18,0.089096,liquid
423.15,0.5,5.5894,0.17891,13.802,13.891,34.802,225.76,282.09,620.25,-0.076738,130.9,0.087836,liquid
428.15,0.5,5.5306,0.18081,15.218,15.309,38.133,227.72,284.96,599.75,-0.049179,125.8,0.086583,liquid
433.15,0.5,5.4702,0.18281,16.65,16.741,41.458,229.67,287.94,579.09,-0.018799,120.87,0.085334,liquid
437.09,0.5,5.4214,0.18445,17.787,17.879,44.074,231.21,290.37,562.7,0.0074417,117.1,0.084352,liquid
437.09,0.5,0.1636,6.1125,41.1,44.156,104.19,225.57,245.34,164.34,21.508,8.6443,0.028466,vapor
438.15,0.5,0.16286,6.1401,41.347,44.417,104.79,225.91,245.46,164.88,21.229,8.667,0.028568,vapor
443.15,0.5,0.15954,6.2679,42.512,45.646,107.58,227.5,246.15,167.35,19.994,8.773,0.029055,vapor
448.15,0.5,0.15643,6.3927,43.682,46.879,110.34,229.1,246.96,169.69,18.876,8.8785,0.029552,vapor
453.15,0.5,0.1535,6.5147,44.859,48.116,113.09,230.72,247.89,171.94,17.859,8.9834,0.030058,vapor
458.15,0.5,0.15073,6.6343,46.041,49.358,115.81,232.36,248.9,174.1,16.93,9.0878,0.030571,vapor
463.15,0.5,0.14811,6.7516,47.229,50.605,118.52,234.0,250.0,176.17,16.079,9.1918,0.031092,vapor
468.15,0.5,0.14563,6.8669,48.425,51.858,121.21,235.65,251.16,178.17,15.295,9.2953,0.031619,vapor
473.15,0.5,0.14326,6.9804,49.627,53.117,123.89,237.31,252.37,180.1,14.573,9.3983,0.032153,vapor
478.15,0.5,0.141,7.0922,50.836,54.382,126.55,238.98,253.63,181.98,13.905,9.5009,0.032692,vapor
483.15,0.5,0.13884,7.2025,52.052,55.653,129.19,240.64,254.94,183.79,13.285,9.6031,0.033237,vapor
